KEGG_ID	Taxonomy_type	Class_I	Class_II	Description
K14030	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2B4, usp; nuclear receptor subfamily 2 group B member 4
K08543	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2C1, TR2; testicular receptor 2
K08544	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2C2, TR4; testicular receptor 4
K14031	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2CN; nuclear receptor subfamily 2 group C
K08545	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2E1, TLX, tll; nuclear receptor subfamily 2 group E member 1
K08546	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2E3, PNR; nuclear receptor subfamily 2 group E member 3
K08547	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2F1, TFCOUP1; COUP transcription factor 1
K08548	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2F2, TFCOUP2; COUP transcription factor 2
K14032	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2F3, svp; nuclear receptor subfamily 2 group F member 3
K08702	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2F5, SVP46; nuclear receptor subfamily 2 group F member 5
K08549	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2F6, EAR2; nuclear receptor subfamily 2 group F member 6
K08550	Eukaryotic type	Zinc finger	Cys4 estrogen receptor-like	ESR1, NR3A1; estrogen receptor alpha
K08551	Eukaryotic type	Zinc finger	Cys4 estrogen receptor-like	ESR2, NR3A2; estrogen receptor beta
K08552	Eukaryotic type	Zinc finger	Cys4 estrogen receptor-like	NR3B1, ESRRA; estrogen-related receptor alpha
K08553	Eukaryotic type	Zinc finger	Cys4 estrogen receptor-like	NR3B2, ESRRB; estrogen-related receptor beta
K08554	Eukaryotic type	Zinc finger	Cys4 estrogen receptor-like	NR3B3, ESRRG; estrogen-related receptor gamma
K08703	Eukaryotic type	Zinc finger	Cys4 estrogen receptor-like	NR3BN, ERR; estrogen-related receptor ERR
K05771	Eukaryotic type	Zinc finger	Cys4 estrogen receptor-like	NR3C1, GR; glucocorticoid receptor
K08555	Eukaryotic type	Zinc finger	Cys4 estrogen receptor-like	NR3C2, MR; mineralocorticoid receptor
K08556	Eukaryotic type	Zinc finger	Cys4 estrogen receptor-like	PGR, NR3C3; progesterone receptor
K08557	Eukaryotic type	Zinc finger	Cys4 estrogen receptor-like	AR, NR3C4; androgen receptor
K04465	Eukaryotic type	Zinc finger	Cys4 nerve growth factor IB-like	NR4A1, HMR; nuclear receptor subfamily 4 group A member 1
K08558	Eukaryotic type	Zinc finger	Cys4 nerve growth factor IB-like	NR4A2, NURR1; nuclear receptor subfamily 4 group A member 2
K08559	Eukaryotic type	Zinc finger	Cys4 nerve growth factor IB-like	NR4A3, NOR1; nuclear receptor subfamily 4 group A member 3
K08560	Eukaryotic type	Zinc finger	Cys4 Fushi tarazu-F1-like	NR5A1, SF1; steroidogenic factor 1
K08027	Eukaryotic type	Zinc finger	Cys4 Fushi tarazu-F1-like	NR5A2, FTF; nuclear receptor subfamily 5 group A member 2
K08705	Eukaryotic type	Zinc finger	Cys4 Fushi tarazu-F1-like	NR5A3, ftz-f1; nuclear receptor subfamily 5 group A member 3
K08561	Eukaryotic type	Zinc finger	Cys4 germ cell nuclear factor	NR6A1, GCNF; germ cell nuclear factor
K09185	Eukaryotic type	Zinc finger	Cys4 germ cell nuclear factor	NR6AN; nuclear receptor subfamily 6 group A
K08706	Eukaryotic type	Zinc finger	Cys4 Knirps/DAX1-like	NR0AN, kni; nuclear receptor subfamily 0 group A
K08562	Eukaryotic type	Zinc finger	Cys4 Knirps/DAX1-like	NR0B1, DAX1; nuclear receptor subfamily 0 group B member 1
K08563	Eukaryotic type	Zinc finger	Cys4 Knirps/DAX1-like	NR0B2, SHP; nuclear receptor subfamily 0 group B member 2
K09182	Eukaryotic type	Zinc finger	Cys4 GATA-factors	GATA1; GATA-binding protein 1
K17894	Eukaryotic type	Zinc finger	Cys4 GATA-factors	GATA2; GATA-binding protein 2
K17895	Eukaryotic type	Zinc finger	Cys4 GATA-factors	GATA3; GATA-binding protein 3
K09183	Eukaryotic type	Zinc finger	Cys4 GATA-factors	GATA4; GATA-binding protein 4
K17896	Eukaryotic type	Zinc finger	Cys4 GATA-factors	GATA5; GATA-binding protein 5
K17897	Eukaryotic type	Zinc finger	Cys4 GATA-factors	GATA6; GATA-binding protein 6
K09184	Eukaryotic type	Zinc finger	Cys4 GATA-factors	GATAF; GATA-binding protein, other eukaryote
K21630	Eukaryotic type	Zinc finger	Cys4 GATA-factors	ZGLP1; GATA-type zinc finger protein 1
K22040	Eukaryotic type	Zinc finger	Cys4 GATA-factors	TRPS1; atypical GATA-binding protein TRPS1
K23407	Eukaryotic type	Zinc finger	Cys4 GATA-factors	GATAD1; GATA zinc finger domain-containing protein 1
K23194	Eukaryotic type	Zinc finger	Cys4 GATA-factors	GATAD2; transcriptional repressor p66
K05628	Eukaryotic type	Zinc finger	Cys4 GATA-factors	RERE; arginine-glutamic acid dipeptide repeats protein
K11660	Eukaryotic type	Zinc finger	Cys4 GATA-factors	MTA; metastasis-associated protein MTA
K17398	Eukaryotic type	Zinc finger	Cys4 GATA-factors	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]
K17399	Eukaryotic type	Zinc finger	Cys4 GATA-factors	DNMT3B; DNA (cytosine-5)-methyltransferase 3B [EC:2.1.1.37]
K17400	Eukaryotic type	Zinc finger	Cys4 GATA-factors	DNMT3L; DNA (cytosine-5)-methyltransferase 3-like
K10779	Eukaryotic type	Zinc finger	Cys4 GATA-factors	ATRX; transcriptional regulator ATRX
K18658	Eukaryotic type	Zinc finger	Cys4 GATA-factors	ASH1; transcriptional regulatory protein ASH1
K04684	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	SP1; transcription factor Sp1
K09192	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	SP2; transcription factor Sp2
K09193	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	SP3; transcription factor Sp3
K09194	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	SP4; transcription factor Sp4
K09195	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	SP5; transcription factor Sp5
K09196	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	SP6; transcription factor Sp6
K09197	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	SP7; transcription factor Sp7
K09198	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	SP8; transcription factor Sp8
K09199	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	SP9; transcription factor Sp9
K09200	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	SP-N; transcription factor Sp, invertebrate
K09204	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	KLF1; krueppel-like factor 1
K17845	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	KLF2; krueppel-like factor 2
K15605	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	KLF3; krueppel-like factor 3
K17846	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	KLF4; krueppel-like factor 4
K09206	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	KLF5; krueppel-like factor 5
K09207	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	KLF6_7; krueppel-like factor 6/7
K09205	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	KLF8_12; krueppel-like factor 8/12
K09208	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	KLF9S, BTEB; krueppel-like factor 9/13/14/16
K09209	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	KLF10_11, TIEG; krueppel-like factor 10/11
K09210	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	KLF15; krueppel-like factor 15
K09211	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	KLF17; krueppel-like factor 17
K09203	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	EGR1; early growth response protein 1
K12496	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	EGR2; early growth response protein 2
K12497	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	EGR3; early growth response protein 3
K12498	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	EGR4; early growth response protein 4
K09202	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	SWI5; regulatory protein SWI5
K09234	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	WT1; Wilms tumor protein 1
K12379	Eukaryotic type	Zinc finger	Cys2His2 SP/KLF family and related proteins	HKB; huckebein
K16797	Eukaryotic type	Zinc finger	Cys2His2 GLI-like	GLI1; zinc finger protein GLI1
K16798	Eukaryotic type	Zinc finger	Cys2His2 GLI-like	GLI2; zinc finger protein GLI2
K06230	Eukaryotic type	Zinc finger	Cys2His2 GLI-like	GLI3; zinc finger protein GLI3
K09232	Eukaryotic type	Zinc finger	Cys2His2 GLI-like	GLIS1_3; zinc finger protein GLIS1/3
K09233	Eukaryotic type	Zinc finger	Cys2His2 GLI-like	GLIS2; zinc finger protein GLIS2
K09224	Eukaryotic type	Zinc finger	Cys2His2 GLI-like	ZIC1; zinc finger protein ZIC 1
K06235	Eukaryotic type	Zinc finger	Cys2His2 GLI-like	ZIC2; zinc finger protein ZIC 2
K18487	Eukaryotic type	Zinc finger	Cys2His2 GLI-like	ZIC3; zinc finger protein ZIC 3
K09225	Eukaryotic type	Zinc finger	Cys2His2 GLI-like	ZIC4; zinc finger protein ZIC 4
K09226	Eukaryotic type	Zinc finger	Cys2His2 GLI-like	ZIC5; zinc finger protein ZIC 5
K09227	Eukaryotic type	Zinc finger	Cys2His2 GLI-like	ZICN; zinc finger protein ZIC, invertebrate
K16799	Eukaryotic type	Zinc finger	Cys2His2 GLI-like	CI; transcriptional activator cubitus interruptus
K05707	Eukaryotic type	Zinc finger	Cys2His2 Snail	SNAI1; snail 1
K05706	Eukaryotic type	Zinc finger	Cys2His2 Snail	SNAI2, SLUG; snail 2
K09217	Eukaryotic type	Zinc finger	Cys2His2 Snail	SNAI3; snail 3
K09219	Eukaryotic type	Zinc finger	Cys2His2 Snail	SCRT; scratch
K25795	Eukaryotic type	Zinc finger	Cys2His2 Snail	INSM; insulinoma-associated protein
K10488	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB1; zinc finger and BTB domain-containing protein 1
K10489	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB2; zinc finger and BTB domain-containing protein 2
K10490	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB3; zinc finger and BTB domain-containing protein 3
K10491	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB4; zinc finger and BTB domain-containing protein 4
K10492	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB5; zinc finger and BTB domain-containing protein 5
K10493	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB6; zinc finger and BTB domain-containing protein 6
K10494	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB7; zinc finger and BTB domain-containing protein 7
K10495	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB8; zinc finger and BTB domain-containing protein 8
K10496	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB9; zinc finger and BTB domain-containing protein 9
K10497	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB10, RINZF; zinc finger and BTB domain-containing protein 10
K10498	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB11; zinc finger and BTB domain-containing protein 11
K10499	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB12; zinc finger and BTB domain-containing protein 12
K24804	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB14; zinc finger and BTB domain-containing protein 14
K10055	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB16, PLZF; zinc finger and BTB domain-containing protein 16
K10500	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB17, MIZ1; zinc finger and BTB domain-containing protein 17
K10501	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB20, HOF, DPZF; zinc finger and BTB domain-containing protein 20
K24805	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB21; zinc finger and BTB domain-containing protein 21
K10502	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB22, BING1; zinc finger and BTB domain-containing protein 22
K10503	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB24, BIF1; zinc finger and BTB domain-containing protein 24
K10504	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB25; zinc finger and BTB domain-containing protein 25
K10505	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB26; zinc finger and BTB domain-containing protein 26
K10506	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB32, TZFP; zinc finger and BTB domain-containing protein 32
K10507	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB33, KAISO; zinc finger and BTB domain-containing protein 33
K10508	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB34; zinc finger and BTB domain-containing protein 34
K24806	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB35, ZNF131; zinc finger and BTB domain-containing protein 35
K10509	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB37; zinc finger and BTB domain-containing protein 37
K10510	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB38; zinc finger and BTB domain-containing protein 38
K10511	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB39; zinc finger and BTB domain-containing protein 39
K10512	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB40; zinc finger and BTB domain-containing protein 40
K10513	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB41; zinc finger and BTB domain-containing protein 41
K10514	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB43; zinc finger and BTB domain-containing protein 43
K10515	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB44, BTBD15; zinc finger and BTB domain-containing protein 44
K10516	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB45; zinc finger and BTB domain-containing protein 45
K10517	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB46, BTBD4; zinc finger and BTB domain-containing protein 46
K10518	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB47; zinc finger and BTB domain-containing protein 47
K10519	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB48, HKR3; zinc finger and BTB domain-containing protein 48
K24807	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB49; zinc finger and BTB domain-containing protein 49
K23196	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	ZBTB18_42; zinc finger and BTB domain-containing protein 18/42
K22402	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	GZF1; GDNF-inducible zinc finger protein 1
K15618	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	BCL6; B-cell lymphoma 6 protein
K22648	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	BCL6B; B-cell CLL/lymphoma 6 member B protein
K24383	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	PATZ1; POZ-AT hook zinc finger protein 1
K26610	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	VEZF1; vascular endothelial zinc finger 1
K24384	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	HIC; hypermethylated in cancer protein
K24385	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	MYNN; myoneurin
K09237	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	TTK; tramtrack
K02174	Eukaryotic type	Zinc finger	Cys2His2 BTB-ZF factors	BR-C; broad-complex core protein
K24637	Eukaryotic type	Zinc finger	Cys2His2 BED	ZBED1; zinc finger BED domain-containing protein 1 (E3 SUMO-protein ligase ZBED1) [EC:2.3.2.-]
K24638	Eukaryotic type	Zinc finger	Cys2His2 BED	ZBED2; zinc finger BED domain-containing protein 2
K24639	Eukaryotic type	Zinc finger	Cys2His2 BED	ZBED3; zinc finger BED domain-containing protein 3
K24640	Eukaryotic type	Zinc finger	Cys2His2 BED	ZBED4; zinc finger BED domain-containing protein 4
K24641	Eukaryotic type	Zinc finger	Cys2His2 BED	ZBED6; zinc finger BED domain-containing protein 6
K24501	Eukaryotic type	Zinc finger	Cys2His2 PRDM	PRDM1; PR domain zinc finger protein 1 [EC:2.1.1.-]
K11432	Eukaryotic type	Zinc finger	Cys2His2 PRDM	PRDM2, RIZ; [histone H3]-lysine9 N-trimethyltransferase PRDM2 [EC:2.1.1.355]
K04462	Eukaryotic type	Zinc finger	Cys2His2 PRDM	MECOM, EVI1, PRDM3; [histone H3]-lysine9 N-methyltransferase (ecotropic virus integration site 1 protein) [EC:2.1.1.367]
K12463	Eukaryotic type	Zinc finger	Cys2His2 PRDM	PRDM4; PR domain zinc finger protein 4 [EC:2.1.1.-]
K22534	Eukaryotic type	Zinc finger	Cys2His2 PRDM	PRDM5; PR domain zinc finger protein 5 [EC:2.1.1.-]
K20795	Eukaryotic type	Zinc finger	Cys2His2 PRDM	PRDM6; [histone H4]-lysine20 N-methyltransferase PRDM6 [EC:2.1.1.361]
K20796	Eukaryotic type	Zinc finger	Cys2His2 PRDM	PRDM7_9; [histone H3]-lysine4 N-trimethyltransferase PRDM7/9 [EC:2.1.1.354]
K20797	Eukaryotic type	Zinc finger	Cys2His2 PRDM	PRDM8; PR domain zinc finger protein 8 [EC:2.1.1.-]
K24643	Eukaryotic type	Zinc finger	Cys2His2 PRDM	PRDM10; PR domain zinc finger protein 10 [EC:2.1.1.-]
K24644	Eukaryotic type	Zinc finger	Cys2His2 PRDM	PRDM11; PR domain zinc finger protein 11 [EC:2.1.1.-]
K24645	Eukaryotic type	Zinc finger	Cys2His2 PRDM	PRDM13; PR domain zinc finger protein 13 [EC:2.1.1.-]
K24646	Eukaryotic type	Zinc finger	Cys2His2 PRDM	PRDM14; PR domain zinc finger protein 14 [EC:2.1.1.-]
K24647	Eukaryotic type	Zinc finger	Cys2His2 PRDM	PRDM15; PR domain zinc finger protein 15 [EC:2.1.1.-]
K22410	Eukaryotic type	Zinc finger	Cys2His2 PRDM	PRDM16; [histone H3]-lysine9 N-methyltransferase [EC:2.1.1.367]
K09238	Eukaryotic type	Zinc finger	Cys2His2 metabolic regulators in fungi	ACE2; metallothionein expression activator
K09466	Eukaryotic type	Zinc finger	Cys2His2 metabolic regulators in fungi	ADR1; zinc finger protein ADR1
K09467	Eukaryotic type	Zinc finger	Cys2His2 metabolic regulators in fungi	MIG; zinc-finger protein CreA/MIG
K09468	Eukaryotic type	Zinc finger	Cys2His2 metabolic regulators in fungi	MSN2_4; zinc finger protein MSN2/4
K19798	Eukaryotic type	Zinc finger	Cys2His2 metabolic regulators in fungi	GIS1; transcriptional activator/repressor GIS1
K19799	Eukaryotic type	Zinc finger	Cys2His2 metabolic regulators in fungi	RPH1; DNA damage-responsive transcriptional repressor / [histone H3]-trimethyl-L-lysine36 demethylase [EC:1.14.11.69]
K09215	Eukaryotic type	Zinc finger	Cys2His2 others	OSR, ODD; odd-skipped
K09216	Eukaryotic type	Zinc finger	Cys2His2 others	OVOL; ovo
K09220	Eukaryotic type	Zinc finger	Cys2His2 others	IKZF, ZNFN1A; IKAROS family zinc finger protein
K09221	Eukaryotic type	Zinc finger	Cys2His2 others	MZF1; myeloid zinc finger protein 1
K09222	Eukaryotic type	Zinc finger	Cys2His2 others	REST; RE1-silencing transcription factor
K09223	Eukaryotic type	Zinc finger	Cys2His2 others	GFI1; growth factor independent 1
K09236	Eukaryotic type	Zinc finger	Cys2His2 others	TSHZ; teashirt
K09239	Eukaryotic type	Zinc finger	Cys2His2 others	HIVEP; human immunodeficiency virus type I enhancer-binding protein
K17452	Eukaryotic type	Zinc finger	Cys2His2 others	AEBP2; zinc finger protein AEBP2
K19484	Eukaryotic type	Zinc finger	Cys2His2 others	PLAG1; zinc finger protein PLAG1
K19485	Eukaryotic type	Zinc finger	Cys2His2 others	PLAGL1; zinc finger protein PLAGL1
K19486	Eukaryotic type	Zinc finger	Cys2His2 others	PLAGL2; zinc finger protein PLAGL2
K20210	Eukaryotic type	Zinc finger	Cys2His2 others	RREB1; ras-responsive element-binding protein 1
K22045	Eukaryotic type	Zinc finger	Cys2His2 others	BCL11A; B-cell lymphoma/leukemia 11A
K22046	Eukaryotic type	Zinc finger	Cys2His2 others	BCL11B; B-cell lymphoma/leukemia 11B
K22401	Eukaryotic type	Zinc finger	Cys2His2 others	E4F1; transcription factor E4F1 / E3 ubiquitin-protein ligase [EC:2.3.2.27]
K23195	Eukaryotic type	Zinc finger	Cys2His2 others	CTCF, CTCFL; transcriptional repressor CTCF
K23317	Eukaryotic type	Zinc finger	Cys2His2 others	MTF1; metal regulatory transcription factor 1
K24146	Eukaryotic type	Zinc finger	Cys2His2 others	BNC; zinc finger protein basonuclin
K09191	Eukaryotic type	Zinc finger	Cys2His2 others	GTF3A; general transcription factor IIIA
K09201	Eukaryotic type	Zinc finger	Cys2His2 others	YY; transcription factor YY
K07466	Eukaryotic type	Zinc finger	Cys2His2 others	RFA1, RPA1, rpa; replication factor A1
K26101	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF16, HZF1; zinc finger protein 16
K24851	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF142; zinc finger protein 142
K24370	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF148; zinc finger protein 148
K12458	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF274; zinc finger protein 274
K26728	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF292; zinc finger protein 292
K24371	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF335; zinc finger protein 335
K24852	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF341; zinc finger protein 341
K23480	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF362_384, LIN-29; zinc finger protein 362/384
K26729	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF407; Zinc finger protein 407
K24372	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF408; zinc finger protein 408
K25858	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF410; zinc finger protein 410
K22870	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF423; zinc finger protein 423
K24853	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF462; zinc finger protein 462
K24373	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF513; zinc finger protein 513
K22411	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF516; zinc finger protein 516
K24916	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF521, EVI3; zinc finger protein 521
K26978	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF526_574; zinc finger protein 526/574
K24692	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF638; zinc finger protein 638
K24374	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF644; zinc finger protein 644
K27106	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF668; zinc finger protein 668
K24375	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF687; zinc finger protein 687
K24376	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF711; zinc finger protein 711
K24377	Eukaryotic type	Zinc finger	Cys2His2 others	ZNF750; zinc finger protein 750
K09228	Eukaryotic type	Zinc finger	Cys2His2 others	KRAB; KRAB domain-containing zinc finger protein
K09229	Eukaryotic type	Zinc finger	Cys2His2 others	ZKSCAN; KRAB and SCAN domains-containing zinc finger protein
K09230	Eukaryotic type	Zinc finger	Cys2His2 others	SCAN; SCAN domain-containing zinc finger protein
K24502	Eukaryotic type	Zinc finger	Cys2His2 others	FEZF; Fez family zinc finger protein
K25209	Eukaryotic type	Zinc finger	Cys2His2 others	CASZ1; zinc finger protein castor
K25794	Eukaryotic type	Zinc finger	Cys2His2 others	HINFP; histone H4 transcription factor
K09231	Eukaryotic type	Zinc finger	Cys2His2 others	KR; krueppel
K13943	Eukaryotic type	Zinc finger	Cys2His2 others	CBT; cabut
K09213	Eukaryotic type	Zinc finger	Cys2His2 others	HB; hunchback
K09214	Eukaryotic type	Zinc finger	Cys2His2 others	GL; glass
K02215	Eukaryotic type	Zinc finger	Cys2His2 others	CF2; chorion factor 2
K22535	Eukaryotic type	Zinc finger	Cys2His2 others	DRM; drumstick
K25869	Eukaryotic type	Zinc finger	Cys2His2 others	IDD1_2; zinc finger protein IDD1/2
K25870	Eukaryotic type	Zinc finger	Cys2His2 others	IDD3S; zinc finger protein IDD3/4/5/6/7/8/9/10/11/12/13
K25871	Eukaryotic type	Zinc finger	Cys2His2 others	IDD14_15_16; zinc finger protein IDD14/15/16
K09235	Eukaryotic type	Zinc finger	Cys2His2 others	RME1; zinc finger protein RME1
K09465	Eukaryotic type	Zinc finger	Cys2His2 others	BRLA; zinc finger protein BrlA
K19487	Eukaryotic type	Zinc finger	Cys2His2 others	SFP1; transcription factor SFP1
K22412	Eukaryotic type	Zinc finger	Cys2His2 others	SDC-1; zinc finger protein Sdc-1
K21455	Eukaryotic type	Zinc finger	Cys2His2 others	CON7; transcription factor CON7
K21543	Eukaryotic type	Zinc finger	Cys2His2 others	CRZ1, CRZA; transcription factor CRZ1
K21544	Eukaryotic type	Zinc finger	Cys2His2 others	NSF1, BCR1, DVRA; C2H2 transcription facotor
K21545	Eukaryotic type	Zinc finger	Cys2His2 others	MNL1, SEB1, SEBA, COM2; C2H2 transcription facotor
K21597	Eukaryotic type	Zinc finger	Cys2His2 others	CAS5; cell wall integrity transcriptional regulator CAS5
K23192	Eukaryotic type	Zinc finger	Cys2HisCys zinc factors	MYT1; myelin transcription factor 1
K23193	Eukaryotic type	Zinc finger	Cys2HisCys zinc factors	MYT1L; myelin transcription factor 1-like protein
K24386	Eukaryotic type	Zinc finger	Cys2HisCys zinc factors	ST18; suppression of tumorigenicity 18 protein
K17441	Eukaryotic type	Zinc finger	Cys2HisCys zinc factors	ZFPM1, FOG1; zinc finger protein ZFPM1
K17442	Eukaryotic type	Zinc finger	Cys2HisCys zinc factors	ZFPM2, FOG2; zinc finger protein ZFPM2
K11308	Eukaryotic type	Zinc finger	Cys2HisCys zinc factors	MYST1, MOF, KAT8; histone acetyltransferase MYST1 [EC:2.3.1.48]
K11307	Eukaryotic type	Zinc finger	Cys2HisCys zinc factors	MYST2, HBO1, KAT7; histone acetyltransferase MYST2 [EC:2.3.1.48]
K11305	Eukaryotic type	Zinc finger	Cys2HisCys zinc factors	MYST3, KAT6A; histone acetyltransferase MYST3 [EC:2.3.1.48]
K11306	Eukaryotic type	Zinc finger	Cys2HisCys zinc factors	MYST4, KAT6B; histone acetyltransferase MYST4 [EC:2.3.1.48]
