qseqid	stitle
TRINITY_DN13968_c0_g1_i2	hypothetical protein C1H46_014951 [Malus baccata]
TRINITY_DN13968_c0_g2_i1	PREDICTED: uncharacterized protein LOC101308815 [Fragaria vesca subsp. vesca]
TRINITY_DN1396_c0_g1_i4	PREDICTED: RING finger and transmembrane domain-containing protein 2 [Fragaria vesca subsp. vesca]
TRINITY_DN13970_c0_g1_i1	PREDICTED: 40S ribosomal protein S5 [Fragaria vesca subsp. vesca]
TRINITY_DN13971_c0_g2_i3	PREDICTED: proteasome subunit alpha type-3 [Fragaria vesca subsp. vesca]
TRINITY_DN13972_c0_g1_i1	PREDICTED: histone H1 [Fragaria vesca subsp. vesca]
TRINITY_DN13974_c0_g1_i10	PREDICTED: uncharacterized protein LOC101310774 [Fragaria vesca subsp. vesca]
TRINITY_DN13975_c0_g1_i4	PREDICTED: uncharacterized protein LOC101309230 [Fragaria vesca subsp. vesca]
TRINITY_DN13976_c0_g1_i2	PREDICTED: (-)-germacrene D synthase-like isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN13976_c0_g4_i2	putative leucine-rich repeat domain, L domain-containing protein [Rosa chinensis]
TRINITY_DN13978_c1_g1_i5	PREDICTED: uncharacterized protein At4g00950 [Fragaria vesca subsp. vesca]
TRINITY_DN13979_c0_g1_i18	PREDICTED: fructose-1,6-bisphosphatase, cytosolic [Fragaria vesca subsp. vesca]
TRINITY_DN1397_c0_g1_i3	PREDICTED: alcohol dehydrogenase class-3 [Fragaria vesca subsp. vesca]
TRINITY_DN13980_c0_g1_i3	PREDICTED: uncharacterized protein LOC101294106 [Fragaria vesca subsp. vesca]
TRINITY_DN13981_c0_g1_i5	PREDICTED: cyclic nucleotide-gated ion channel 1-like [Fragaria vesca subsp. vesca]
TRINITY_DN13982_c0_g1_i1	tubulin alpha-2/alpha-4 chain [Nematostella vectensis]
TRINITY_DN13982_c0_g2_i2	hypothetical protein DVH24_034431 [Malus domestica]
TRINITY_DN13983_c0_g1_i8	PREDICTED: T-complex protein 1 subunit alpha [Fragaria vesca subsp. vesca]
TRINITY_DN13984_c0_g1_i4	PREDICTED: ubiquitin-like-specific protease ESD4 [Fragaria vesca subsp. vesca]
TRINITY_DN13985_c1_g1_i8	PREDICTED: stress response protein NST1-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN13986_c0_g1_i3	PREDICTED: homeobox protein HAT3.1 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN13987_c0_g1_i3	Ubiquitin-40S ribosomal protein S27a [Medicago truncatula]
TRINITY_DN13988_c0_g1_i7	PREDICTED: transmembrane protein 161B [Fragaria vesca subsp. vesca]
TRINITY_DN13989_c0_g1_i4	PREDICTED: squamosa promoter-binding protein 1-like [Fragaria vesca subsp. vesca]
TRINITY_DN13989_c0_g2_i1	putative vacuolar protein sorting-associated protein Ist1 [Rosa chinensis]
TRINITY_DN1398_c0_g1_i9	PREDICTED: rhodanese-like domain-containing protein 4A, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN13991_c0_g1_i1	PREDICTED: aquaporin NIP1-1-like [Fragaria vesca subsp. vesca]
TRINITY_DN13992_c0_g1_i4	PREDICTED: ATP-dependent zinc metalloprotease FTSH 10, mitochondrial [Fragaria vesca subsp. vesca]
TRINITY_DN13994_c0_g1_i5	PREDICTED: uncharacterized protein LOC101307783 [Fragaria vesca subsp. vesca]
TRINITY_DN13995_c1_g1_i1	PREDICTED: stromal 70 kDa heat shock-related protein, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN13997_c0_g1_i7	PREDICTED: actin-related protein 2/3 complex subunit 5A [Fragaria vesca subsp. vesca]
TRINITY_DN13999_c0_g1_i7	PREDICTED: CASP-like protein 4B1 [Fragaria vesca subsp. vesca]
TRINITY_DN1399_c0_g1_i8	uncharacterized protein LOC112174123 [Rosa chinensis]
TRINITY_DN1399_c0_g2_i1	PREDICTED: transmembrane protein 64 [Fragaria vesca subsp. vesca]
TRINITY_DN1399_c1_g1_i3	PREDICTED: uncharacterized protein LOC101302178 [Fragaria vesca subsp. vesca]
TRINITY_DN139_c0_g1_i8	PREDICTED: leucoanthocyanidin dioxygenase-like [Fragaria vesca subsp. vesca]
TRINITY_DN13_c0_g1_i16	PREDICTED: GTPase Era, mitochondrial isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14000_c0_g1_i3	PREDICTED: uncharacterized protein LOC101308695 [Fragaria vesca subsp. vesca]
TRINITY_DN14001_c0_g1_i2	PREDICTED: nostrin isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14002_c0_g1_i1	PREDICTED: glutathione synthetase, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN14002_c0_g2_i4	PREDICTED: glutathione synthetase, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN14003_c0_g1_i3	phosphate transporter PHO1-like protein 1 [Fragaria x ananassa]
TRINITY_DN14004_c0_g1_i7	PREDICTED: dehydrogenase/reductase SDR family member 7 [Fragaria vesca subsp. vesca]
TRINITY_DN14004_c1_g1_i1	PREDICTED: membrane steroid-binding protein 2 [Fragaria vesca subsp. vesca]
TRINITY_DN14005_c0_g1_i2	PREDICTED: thylakoid lumenal 16.5 kDa protein, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN14006_c0_g1_i8	RecName: Full=Putative UDP-glucose glucosyltransferase; Short=FaGT5; AltName: Full=Glucosyltransferase 5 [Fragaria x ananassa]
TRINITY_DN14007_c0_g1_i8	PREDICTED: mitochondrial adenine nucleotide transporter ADNT1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14008_c0_g2_i1	PREDICTED: uncharacterized protein LOC101299013 [Fragaria vesca subsp. vesca]
TRINITY_DN14009_c0_g1_i2	PREDICTED: general transcription factor IIE subunit 1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14009_c0_g2_i1	PREDICTED: general transcription factor IIE subunit 1-like [Fragaria vesca subsp. vesca]
TRINITY_DN1400_c0_g1_i5	splicing factor-like protein 1 [Rosa chinensis]
TRINITY_DN1400_c1_g1_i2	PREDICTED: clathrin interactor EPSIN 2 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14010_c0_g1_i1	PREDICTED: proteinaceous RNase P 1, chloroplastic/mitochondrial [Fragaria vesca subsp. vesca]
TRINITY_DN14012_c0_g1_i10	PREDICTED: calcium uniporter protein 2, mitochondrial [Fragaria vesca subsp. vesca]
TRINITY_DN14014_c0_g1_i6	PREDICTED: pentatricopeptide repeat-containing protein At3g46870 [Fragaria vesca subsp. vesca]
TRINITY_DN14015_c0_g2_i2	PREDICTED: aspartic proteinase nepenthesin-2 [Fragaria vesca subsp. vesca]
TRINITY_DN14017_c0_g1_i2	hypothetical protein RchiOBHm_Chr2g0123891 [Rosa chinensis]
TRINITY_DN14017_c0_g2_i1	hypothetical protein RchiOBHm_Chr2g0123891 [Rosa chinensis]
TRINITY_DN14018_c0_g1_i4	PREDICTED: translational activator GCN1 [Fragaria vesca subsp. vesca]
TRINITY_DN14019_c0_g1_i6	PREDICTED: heat shock protein 83 [Fragaria vesca subsp. vesca]
TRINITY_DN1401_c0_g1_i6	PREDICTED: UDP-glucose 4-epimerase GEPI48-like [Fragaria vesca subsp. vesca]
TRINITY_DN14020_c0_g1_i4	PREDICTED: 1-acyl-sn-glycerol-3-phosphate acyltransferase 2 [Fragaria vesca subsp. vesca]
TRINITY_DN14021_c0_g1_i13	PREDICTED: chloride channel protein CLC-c [Fragaria vesca subsp. vesca]
TRINITY_DN14022_c0_g2_i9	PREDICTED: TMV resistance protein N-like isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN14023_c1_g1_i11	PREDICTED: protein FAR-RED ELONGATED HYPOCOTYL 3 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14024_c0_g1_i5	PREDICTED: delta(8)-fatty-acid desaturase 1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14026_c0_g1_i7	PREDICTED: uncharacterized protein LOC101305205 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14028_c0_g1_i4	putative MYB-CC type transcription factor, LHEQLE-containing domain-containing protein [Rosa chinensis]
TRINITY_DN14029_c0_g1_i6	PREDICTED: cyclic pyranopterin monophosphate synthase, mitochondrial [Fragaria vesca subsp. vesca]
TRINITY_DN1402_c0_g1_i3	PREDICTED: uncharacterized protein LOC101302194 [Fragaria vesca subsp. vesca]
TRINITY_DN14031_c0_g1_i4	PREDICTED: mitochondrial fission 1 protein A-like [Fragaria vesca subsp. vesca]
TRINITY_DN14032_c0_g1_i7	PREDICTED: protein FLX-like 3 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14034_c0_g1_i3	PREDICTED: serine/threonine-protein kinase CDL1 [Fragaria vesca subsp. vesca]
TRINITY_DN14036_c0_g1_i6	PREDICTED: uncharacterized protein At4g10930 [Fragaria vesca subsp. vesca]
TRINITY_DN14037_c0_g1_i3	PREDICTED: uncharacterized protein LOC101302469 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14038_c0_g1_i12	PREDICTED: DEAD-box ATP-dependent RNA helicase 17 [Fragaria vesca subsp. vesca]
TRINITY_DN14039_c0_g1_i4	PREDICTED: protein FLUORESCENT IN BLUE LIGHT, chloroplastic isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN1403_c0_g1_i5	PREDICTED: protein TIC 20-I, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN14040_c0_g1_i1	PREDICTED: acyl carrier protein 1, chloroplastic-like [Fragaria vesca subsp. vesca]
TRINITY_DN14041_c0_g1_i10	PREDICTED: signal recognition particle receptor subunit alpha homolog [Fragaria vesca subsp. vesca]
TRINITY_DN14042_c0_g1_i2	PREDICTED: pyruvate, phosphate dikinase 2 [Fragaria vesca subsp. vesca]
TRINITY_DN14043_c0_g1_i4	PREDICTED: pyruvate kinase, cytosolic isozyme [Fragaria vesca subsp. vesca]
TRINITY_DN14044_c0_g1_i1	PREDICTED: uncharacterized protein LOC105349508 [Fragaria vesca subsp. vesca]
TRINITY_DN14044_c0_g2_i1	PREDICTED: uncharacterized protein LOC105349508 [Fragaria vesca subsp. vesca]
TRINITY_DN14045_c0_g1_i6	PREDICTED: serine/threonine-protein kinase At5g01020 [Fragaria vesca subsp. vesca]
TRINITY_DN14046_c0_g1_i1	PREDICTED: dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14047_c0_g1_i7	PREDICTED: protein odr-4 homolog isoform X3 [Fragaria vesca subsp. vesca]
TRINITY_DN14048_c0_g1_i1	PREDICTED: probable nucleoside diphosphate kinase 5 [Fragaria vesca subsp. vesca]
TRINITY_DN14049_c0_g2_i1	PREDICTED: peptidyl-prolyl cis-trans isomerase FKBP15-1 [Fragaria vesca subsp. vesca]
TRINITY_DN1404_c0_g1_i12	PREDICTED: transcription factor bHLH157-like [Fragaria vesca subsp. vesca]
TRINITY_DN1404_c1_g1_i1	PREDICTED: diacylglycerol O-acyltransferase 1 [Fragaria vesca subsp. vesca]
TRINITY_DN14050_c0_g1_i1	PREDICTED: myosin heavy chain, striated muscle-like [Fragaria vesca subsp. vesca]
TRINITY_DN14051_c0_g1_i7	PREDICTED: E3 ubiquitin-protein ligase RHA2A [Fragaria vesca subsp. vesca]
TRINITY_DN14052_c0_g2_i3	PREDICTED: uncharacterized protein LOC101312662 [Fragaria vesca subsp. vesca]
TRINITY_DN14053_c0_g1_i1	photosystem I reaction center subunit II, chloroplastic-like [Malus domestica]
TRINITY_DN14056_c0_g1_i4	PREDICTED: LOW QUALITY PROTEIN: U3 small nucleolar ribonucleoprotein protein IMP4-like [Fragaria vesca subsp. vesca]
TRINITY_DN14057_c0_g1_i10	PREDICTED: cell division protein FtsY homolog, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN14059_c0_g1_i1	PREDICTED: protein LYK5-like [Fragaria vesca subsp. vesca]
TRINITY_DN14060_c0_g1_i4	PREDICTED: serine/threonine-protein phosphatase 6 regulatory subunit 3 [Fragaria vesca subsp. vesca]
TRINITY_DN14061_c0_g1_i1	PREDICTED: ruvB-like 2 [Fragaria vesca subsp. vesca]
TRINITY_DN14064_c0_g1_i7	PREDICTED: beta-amylase 1, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN14065_c0_g1_i10	PREDICTED: acetylornithine deacetylase [Fragaria vesca subsp. vesca]
TRINITY_DN14066_c0_g1_i4	PREDICTED: haloacid dehalogenase-like hydrolase domain-containing protein 3 [Fragaria vesca subsp. vesca]
TRINITY_DN14067_c0_g1_i1	PREDICTED: uncharacterized protein LOC101294280 [Fragaria vesca subsp. vesca]
TRINITY_DN14068_c0_g1_i4	PREDICTED: probable plastid-lipid-associated protein 4, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN14069_c0_g1_i4	PREDICTED: S-adenosylmethionine decarboxylase proenzyme [Fragaria vesca subsp. vesca]
TRINITY_DN1406_c0_g1_i3	PREDICTED: ankyrin repeat-containing protein At3g12360-like [Fragaria vesca subsp. vesca]
TRINITY_DN14070_c1_g1_i7	PREDICTED: ribonuclease 3-like protein 2 [Fragaria vesca subsp. vesca]
TRINITY_DN14071_c0_g1_i2	PREDICTED: phosphatidylinositol-glycan biosynthesis class X protein [Fragaria vesca subsp. vesca]
TRINITY_DN14072_c0_g1_i7	PREDICTED: homeobox-leucine zipper protein ATHB-6-like [Fragaria vesca subsp. vesca]
TRINITY_DN14074_c0_g3_i3	PREDICTED: mitotic-spindle organizing protein 1A-like [Fragaria vesca subsp. vesca]
TRINITY_DN14075_c0_g2_i1	multiprotein-bridging factor 1a [Rosa chinensis]
TRINITY_DN14076_c0_g1_i7	PREDICTED: NAC transcription factor 29 [Fragaria vesca subsp. vesca]
TRINITY_DN14076_c0_g2_i1	PREDICTED: receptor-like protein kinase HSL1 [Fragaria vesca subsp. vesca]
TRINITY_DN14077_c0_g1_i1	PREDICTED: L-type lectin-domain containing receptor kinase IX.1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14077_c1_g1_i2	PREDICTED: L-type lectin-domain containing receptor kinase IX.1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14078_c0_g1_i1	PREDICTED: uncharacterized protein LOC105349238 [Fragaria vesca subsp. vesca]
TRINITY_DN14079_c0_g1_i2	PREDICTED: uncharacterized protein LOC101301986 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN1407_c0_g1_i6	PREDICTED: putative laccase-9 [Fragaria vesca subsp. vesca]
TRINITY_DN14081_c0_g1_i1	ribulose bisphosphate carboxylase small chain, chloroplastic-like [Pistacia vera]
TRINITY_DN14083_c0_g1_i12	PREDICTED: pentatricopeptide repeat-containing protein At1g01970 [Fragaria vesca subsp. vesca]
TRINITY_DN14084_c0_g1_i2	PREDICTED: inactive poly [ADP-ribose] polymerase RCD1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14084_c0_g2_i2	PREDICTED: inactive poly [ADP-ribose] polymerase RCD1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14085_c0_g1_i1	PREDICTED: probable CCR4-associated factor 1 homolog 6 [Fragaria vesca subsp. vesca]
TRINITY_DN14087_c0_g1_i7	PREDICTED: uncharacterized protein DDB_G0284459-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14088_c0_g1_i5	PREDICTED: magnesium transporter MRS2-11, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN1408_c0_g1_i2	hypothetical protein RchiOBHm_Chr7g0185301 [Rosa chinensis]
TRINITY_DN14091_c0_g2_i4	PREDICTED: probable fatty acyl-CoA reductase 4 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14091_c0_g3_i1	PREDICTED: uncharacterized protein LOC105353299 [Fragaria vesca subsp. vesca]
TRINITY_DN14093_c0_g1_i10	PREDICTED: patatin-like protein 2 [Fragaria vesca subsp. vesca]
TRINITY_DN14094_c0_g1_i6	PREDICTED: uncharacterized protein LOC101307600 [Fragaria vesca subsp. vesca]
TRINITY_DN14095_c0_g1_i2	PREDICTED: src substrate cortactin-like [Fragaria vesca subsp. vesca]
TRINITY_DN14096_c0_g1_i1	PREDICTED: uncharacterized protein LOC101297424 [Fragaria vesca subsp. vesca]
TRINITY_DN14097_c0_g1_i1	PREDICTED: uncharacterized protein LOC101297333 [Fragaria vesca subsp. vesca]
TRINITY_DN14098_c0_g1_i1	PREDICTED: BTB/POZ domain-containing protein NPY4-like [Fragaria vesca subsp. vesca]
TRINITY_DN140_c0_g1_i8	PREDICTED: proteasome subunit beta type-2-A [Fragaria vesca subsp. vesca]
TRINITY_DN140_c0_g2_i1	BnaC01g22750D [Brassica napus]
TRINITY_DN14100_c0_g1_i6	PREDICTED: DNA repair protein recA homolog 1, chloroplastic isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14101_c0_g1_i1	PREDICTED: probable long-chain-alcohol O-fatty-acyltransferase 5 [Fragaria vesca subsp. vesca]
TRINITY_DN14103_c0_g1_i3	PREDICTED: uncharacterized protein LOC101311864 [Fragaria vesca subsp. vesca]
TRINITY_DN14105_c0_g2_i3	PREDICTED: phosphoglucan phosphatase LSF2, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN14106_c0_g1_i10	PREDICTED: two-pore potassium channel 5 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14107_c0_g1_i7	PREDICTED: probable polyol transporter 4 [Fragaria vesca subsp. vesca]
TRINITY_DN14110_c1_g1_i1	PREDICTED: serine/threonine-protein kinase HT1 [Fragaria vesca subsp. vesca]
TRINITY_DN14111_c0_g1_i9	PREDICTED: uncharacterized protein LOC101313410 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN14115_c0_g1_i5	PREDICTED: probable methyltransferase PMT5 [Fragaria vesca subsp. vesca]
TRINITY_DN14116_c0_g1_i4	PREDICTED: F-box/kelch-repeat protein At5g60570 [Fragaria vesca subsp. vesca]
TRINITY_DN14117_c0_g1_i2	phenylalanine ammonia-lyase 2 [Fragaria x ananassa]
TRINITY_DN14119_c0_g1_i1	PREDICTED: uncharacterized protein LOC101301139 [Fragaria vesca subsp. vesca]
TRINITY_DN1411_c0_g1_i6	T10O24.13 [Arabidopsis thaliana]
TRINITY_DN1411_c0_g2_i6	external alternative NAD(P)H-ubiquinone oxidoreductase B1, mitochondrial-like [Rosa chinensis]
TRINITY_DN14120_c0_g1_i1	PREDICTED: uncharacterized protein LOC101307331 [Fragaria vesca subsp. vesca]
TRINITY_DN14121_c0_g1_i9	PREDICTED: palmitoyl-protein thioesterase 1 [Fragaria vesca subsp. vesca]
TRINITY_DN14122_c0_g1_i11	hypothetical protein RchiOBHm_Chr3g0495521 [Rosa chinensis]
TRINITY_DN14123_c0_g2_i1	PREDICTED: squamosa promoter-binding protein 1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14124_c0_g1_i7	PREDICTED: GATA transcription factor 26-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14126_c0_g1_i11	PREDICTED: uncharacterized protein LOC101303041 [Fragaria vesca subsp. vesca]
TRINITY_DN14128_c1_g1_i4	methyl-CpG-binding domain-containing protein 11 isoform X1 [Prunus persica]
TRINITY_DN14129_c0_g1_i1	PREDICTED: adenine phosphoribosyltransferase 3 [Fragaria vesca subsp. vesca]
TRINITY_DN1412_c0_g1_i6	PREDICTED: probable solanesyl-diphosphate synthase 3, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN1412_c0_g2_i1	PREDICTED: 65-kDa microtubule-associated protein 6 [Fragaria vesca subsp. vesca]
TRINITY_DN1412_c1_g1_i5	PREDICTED: regulation of nuclear pre-mRNA domain-containing protein 2-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN1412_c2_g1_i2	PREDICTED: protein WVD2-like 1 [Fragaria vesca subsp. vesca]
TRINITY_DN1412_c2_g2_i2	PREDICTED: protein WVD2-like 1 [Fragaria vesca subsp. vesca]
TRINITY_DN14130_c0_g1_i3	PREDICTED: serine/threonine-protein kinase PBS1 [Fragaria vesca subsp. vesca]
TRINITY_DN14131_c0_g1_i1	PREDICTED: uncharacterized protein LOC101297291 [Fragaria vesca subsp. vesca]
TRINITY_DN14132_c0_g1_i6	hypothetical protein GOBAR_AA18297 [Gossypium barbadense]
TRINITY_DN14133_c0_g1_i2	PREDICTED: formin-like protein 20 [Fragaria vesca subsp. vesca]
TRINITY_DN14133_c0_g2_i1	hypothetical protein RchiOBHm_Chr5g0056401 [Rosa chinensis]
TRINITY_DN14134_c0_g1_i1	PREDICTED: COP9 signalosome complex subunit 5a-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14135_c0_g1_i1	PREDICTED: pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta-like [Fragaria vesca subsp. vesca]
TRINITY_DN14135_c0_g2_i4	PREDICTED: monothiol glutaredoxin-S7, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN14136_c0_g1_i1	PREDICTED: E3 ubiquitin-protein ligase PUB23 [Fragaria vesca subsp. vesca]
TRINITY_DN14136_c0_g2_i1	pleiotropic drug resistance protein 2-like [Rosa chinensis]
TRINITY_DN14136_c1_g1_i4	pleiotropic drug resistance protein 2-like [Rosa chinensis]
TRINITY_DN14137_c1_g1_i10	PREDICTED: protein ASPARTIC PROTEASE IN GUARD CELL 1 [Fragaria vesca subsp. vesca]
TRINITY_DN14138_c0_g1_i4	PREDICTED: putative quinone-oxidoreductase homolog, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN14138_c0_g2_i3	PREDICTED: putative quinone-oxidoreductase homolog, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN14139_c0_g1_i4	PREDICTED: probable serine/threonine-protein kinase At1g18390 isoform X3 [Fragaria vesca subsp. vesca]
TRINITY_DN1413_c0_g1_i3	PREDICTED: proline transporter 1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14140_c0_g1_i4	PREDICTED: uncharacterized membrane protein At1g75140 [Fragaria vesca subsp. vesca]
TRINITY_DN14141_c0_g1_i3	PREDICTED: SWR1-complex protein 4 [Fragaria vesca subsp. vesca]
TRINITY_DN14142_c0_g1_i2	PREDICTED: myb-related protein Hv1 [Fragaria vesca subsp. vesca]
TRINITY_DN14143_c0_g1_i2	PREDICTED: protein IQ-DOMAIN 14 [Fragaria vesca subsp. vesca]
TRINITY_DN14143_c0_g2_i6	PREDICTED: protein IQ-DOMAIN 14 [Fragaria vesca subsp. vesca]
TRINITY_DN14146_c0_g1_i1	PREDICTED: uncharacterized protein LOC101309568 [Fragaria vesca subsp. vesca]
TRINITY_DN14149_c0_g1_i2	PREDICTED: uncharacterized protein LOC101312757 [Fragaria vesca subsp. vesca]
TRINITY_DN1414_c0_g1_i8	pollen-specific leucine-rich repeat extensin-like protein 2 [Rosa chinensis]
TRINITY_DN14150_c0_g1_i4	PREDICTED: glycine-rich RNA-binding protein 6, mitochondrial [Fragaria vesca subsp. vesca]
TRINITY_DN14152_c0_g1_i4	PREDICTED: uncharacterized protein LOC101307548 [Fragaria vesca subsp. vesca]
TRINITY_DN14153_c0_g1_i2	heat shock transcription factor protein 2 [Fragaria x ananassa]
TRINITY_DN14156_c0_g1_i12	PREDICTED: bifunctional dihydrofolate reductase-thymidylate synthase-like [Fragaria vesca subsp. vesca]
TRINITY_DN14157_c0_g1_i6	PREDICTED: uncharacterized protein LOC101299210 [Fragaria vesca subsp. vesca]
TRINITY_DN14158_c0_g1_i1	PREDICTED: sodium/hydrogen exchanger 2-like [Fragaria vesca subsp. vesca]
TRINITY_DN14158_c0_g2_i1	PREDICTED: sodium/hydrogen exchanger 2-like [Fragaria vesca subsp. vesca]
TRINITY_DN14159_c0_g1_i10	PREDICTED: uncharacterized protein LOC101296952 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN1415_c0_g1_i4	PREDICTED: phosphoinositide phosphatase SAC6 [Fragaria vesca subsp. vesca]
TRINITY_DN14160_c0_g1_i12	PREDICTED: endoribonuclease Dicer homolog 3a [Fragaria vesca subsp. vesca]
TRINITY_DN14163_c0_g1_i7	PREDICTED: uncharacterized protein LOC101314805 [Fragaria vesca subsp. vesca]
TRINITY_DN14164_c0_g1_i6	PREDICTED: zinc finger BED domain-containing protein DAYSLEEPER-like [Fragaria vesca subsp. vesca]
TRINITY_DN14166_c0_g1_i1	PREDICTED: guanylate-binding protein 3 [Fragaria vesca subsp. vesca]
TRINITY_DN14167_c0_g1_i1	PREDICTED: chaperone protein dnaJ 20, chloroplastic-like [Fragaria vesca subsp. vesca]
TRINITY_DN14169_c0_g1_i29	PREDICTED: V-type proton ATPase subunit H [Fragaria vesca subsp. vesca]
TRINITY_DN1416_c0_g2_i3	hypothetical protein GOBAR_DD16990 [Gossypium barbadense]
TRINITY_DN1416_c2_g1_i2	PREDICTED: glucosidase 2 subunit beta [Fragaria vesca subsp. vesca]
TRINITY_DN1416_c2_g2_i1	PREDICTED: glucosidase 2 subunit beta [Fragaria vesca subsp. vesca]
TRINITY_DN14171_c0_g1_i5	PREDICTED: NAC domain-containing protein 48 [Fragaria vesca subsp. vesca]
TRINITY_DN14172_c0_g1_i4	type IV inositol polyphosphate 5-phosphatase 6-like isoform X1 [Rosa chinensis]
TRINITY_DN14172_c1_g1_i2	uncharacterized protein LOC112189349 isoform X1 [Rosa chinensis]
TRINITY_DN14172_c1_g2_i1	PREDICTED: MAR-binding filament-like protein 1 [Fragaria vesca subsp. vesca]
TRINITY_DN14173_c0_g1_i7	PREDICTED: uncharacterized protein LOC101308610 [Fragaria vesca subsp. vesca]
TRINITY_DN14174_c0_g1_i3	PREDICTED: uncharacterized protein LOC101313033 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN14175_c0_g1_i2	autophagy-related protein 8f isoform X1 [Solanum pennellii]
TRINITY_DN14175_c0_g3_i1	PREDICTED: autophagy-related protein 8f [Fragaria vesca subsp. vesca]
TRINITY_DN14175_c0_g4_i1	hypothetical protein VITISV_028569, partial [Vitis vinifera]
TRINITY_DN14176_c0_g1_i9	PREDICTED: UDP-galactose transporter 2-like [Fragaria vesca subsp. vesca]
TRINITY_DN14177_c0_g1_i11	PREDICTED: metal tolerance protein 10 [Fragaria vesca subsp. vesca]
TRINITY_DN14178_c0_g2_i1	PREDICTED: ethanolamine-phosphate cytidylyltransferase-like [Lupinus angustifolius]
TRINITY_DN1417_c0_g1_i1	LOW QUALITY PROTEIN: polyubiquitin-A-like [Pistacia vera]
TRINITY_DN1417_c0_g2_i2	polyubiquitin [Hevea brasiliensis]
TRINITY_DN14180_c0_g1_i2	PREDICTED: type I inositol 1,4,5-trisphosphate 5-phosphatase CVP2-like [Fragaria vesca subsp. vesca]
TRINITY_DN14181_c0_g1_i9	putative disease resistance protein RGA3 [Rosa chinensis]
TRINITY_DN14182_c0_g1_i1	PREDICTED: cyclic nucleotide-gated ion channel 1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14182_c0_g2_i4	PREDICTED: cyclic nucleotide-gated ion channel 1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14184_c0_g1_i2	PREDICTED: protein canopy homolog 2 [Fragaria vesca subsp. vesca]
TRINITY_DN14185_c0_g1_i6	PREDICTED: uncharacterized protein At1g04910 [Fragaria vesca subsp. vesca]
TRINITY_DN14187_c0_g1_i7	PREDICTED: eukaryotic initiation factor 4A-I [Fragaria vesca subsp. vesca]
TRINITY_DN14188_c0_g1_i6	PREDICTED: leucine-rich repeat receptor-like serine/threonine-protein kinase BAM1 [Fragaria vesca subsp. vesca]
