GO_ID	GO_Tier2_ID	GO_Tier1_ID	Tier_Level
GO:0060470_positive regulation of cytosolic calcium ion concentration involved in egg activation	GO:0022414_reproductive process	biological_process	Tier3
GO:0060471_cortical granule exocytosis	GO:0022414_reproductive process	biological_process	Tier3
GO:0060474_positive regulation of flagellated sperm motility involved in capacitation	GO:0022414_reproductive process	biological_process	Tier3
GO:0060475_positive regulation of actin filament polymerization involved in acrosome reaction	GO:0022414_reproductive process	biological_process	Tier3
GO:0060476_protein localization involved in acrosome reaction	GO:0022414_reproductive process	biological_process	Tier3
GO:0060478_acrosomal vesicle exocytosis	GO:0022414_reproductive process	biological_process	Tier3
GO:0060518_cell migration involved in prostatic bud elongation	GO:0022414_reproductive process	biological_process	Tier3
GO:0060519_cell adhesion involved in prostatic bud elongation	GO:0022414_reproductive process	biological_process	Tier3
GO:0060673_cell-cell signaling involved in placenta development	GO:0022414_reproductive process	biological_process	Tier3
GO:0060710_chorio-allantoic fusion	GO:0022414_reproductive process	biological_process	Tier3
GO:0060722_cell proliferation involved in embryonic placenta development	GO:0022414_reproductive process	biological_process	Tier3
GO:0060738_epithelial-mesenchymal signaling involved in prostate gland development	GO:0022414_reproductive process	biological_process	Tier3
GO:0060739_mesenchymal-epithelial cell signaling involved in prostate gland development	GO:0022414_reproductive process	biological_process	Tier3
GO:0060756_foraging behavior	GO:0007610_behavior	biological_process	Tier3
GO:0060767_epithelial cell proliferation involved in prostate gland development	GO:0022414_reproductive process	biological_process	Tier3
GO:0060781_mesenchymal cell proliferation involved in prostate gland development	GO:0022414_reproductive process	biological_process	Tier3
GO:0060783_mesenchymal smoothened signaling pathway involved in prostate gland development	GO:0022414_reproductive process	biological_process	Tier3
GO:0060858_vesicle-mediated transport involved in floral organ abscission	GO:0022414_reproductive process	biological_process	Tier3
GO:0060869_transmembrane receptor protein serine_threonine kinase signaling pathway involved in floral organ abscission	GO:0022414_reproductive process	biological_process	Tier3
GO:0060870_cell wall disassembly involved in floral organ abscission	GO:0022414_reproductive process	biological_process	Tier3
GO:0061450_trophoblast cell migration	GO:0022414_reproductive process	biological_process	Tier3
GO:0061500_gene conversion at mating-type locus_termination of copy-synthesis	GO:0022414_reproductive process	biological_process	Tier3
GO:0061687_detoxification of inorganic compound	GO:0098754_detoxification	biological_process	Tier3
GO:0061744_motor behavior	GO:0007610_behavior	biological_process	Tier3
GO:0061842_microtubule organizing center localization	GO:0009987_cellular process	biological_process	Tier3
GO:0061842_microtubule organizing center localization	GO:0051179_localization	biological_process	Tier3
GO:0061887_reproduction of symbiont in host	GO:0000003_reproduction	biological_process	Tier3
GO:0061919_process utilizing autophagic mechanism	GO:0009987_cellular process	biological_process	Tier3
GO:0061948_premature acrosome loss	GO:0022414_reproductive process	biological_process	Tier3
GO:0061955_positive regulation of actin filament depolymerization involved in acrosome reaction	GO:0022414_reproductive process	biological_process	Tier3
GO:0065008_regulation of biological quality	GO:0065007_biological regulation	biological_process	Tier3
GO:0065009_regulation of molecular function	GO:0065007_biological regulation	biological_process	Tier3
GO:0070085_glycosylation	GO:0008152_metabolic process	biological_process	Tier3
GO:0070871_cell wall organization involved in conjugation with cellular fusion	GO:0022414_reproductive process	biological_process	Tier3
GO:0070988_demethylation	GO:0008152_metabolic process	biological_process	Tier3
GO:0071507_pheromone response MAPK cascade	GO:0022414_reproductive process	biological_process	Tier3
GO:0071508_activation of MAPK activity involved in conjugation with cellular fusion	GO:0022414_reproductive process	biological_process	Tier3
GO:0071509_activation of MAPKK activity involved in conjugation with cellular fusion	GO:0022414_reproductive process	biological_process	Tier3
GO:0071510_activation of MAPKKK activity involved in conjugation with cellular fusion	GO:0022414_reproductive process	biological_process	Tier3
GO:0071511_inactivation of MAPK activity involved in conjugation with cellular fusion	GO:0022414_reproductive process	biological_process	Tier3
GO:0071554_cell wall organization or biogenesis	GO:0009987_cellular process	biological_process	Tier3
GO:0071625_vocalization behavior	GO:0007610_behavior	biological_process	Tier3
GO:0071684_organism emergence from protective structure	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0071704_organic substance metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0071722_detoxification of arsenic-containing substance	GO:0098754_detoxification	biological_process	Tier3
GO:0071827_plasma lipoprotein particle organization	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0071840_cellular component organization or biogenesis	GO:0009987_cellular process	biological_process	Tier3
GO:0071965_multicellular organismal locomotion	GO:0040011_locomotion	biological_process	Tier3
GO:0072376_protein activation cascade	GO:0050896_response to stimulus	biological_process	Tier3
GO:0072409_detection of stimulus involved in meiotic cell cycle checkpoint	GO:0022414_reproductive process	biological_process	Tier3
GO:0072690_single-celled organism vegetative growth phase	GO:0044848_biological phase	biological_process	Tier3
GO:0075325_spore dispersal	GO:0000003_reproduction	biological_process	Tier3
GO:0080189_primary growth	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0080189_primary growth	GO:0040007_growth	biological_process	Tier3
GO:0080190_lateral growth	GO:0040007_growth	biological_process	Tier3
GO:0090130_tissue migration	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0090618_DNA clamp unloading	GO:0009987_cellular process	biological_process	Tier3
GO:0090644_age-related resistance	GO:0032502_developmental process	biological_process	Tier3
GO:0090664_response to high population density	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0090675_intermicrovillar adhesion	GO:0022610_biological adhesion	biological_process	Tier3
GO:0090713_immunological memory process	GO:0002376_immune system process	biological_process	Tier3
GO:0097167_circadian regulation of translation	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0097194_execution phase of apoptosis	GO:0009987_cellular process	biological_process	Tier3
GO:0097207_bud dormancy process	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0097242_amyloid-beta clearance	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0097528_execution phase of necroptosis	GO:0009987_cellular process	biological_process	Tier3
GO:0097722_sperm motility	GO:0022414_reproductive process	biological_process	Tier3
GO:0097737_acquisition of mycelium reproductive competence	GO:0032502_developmental process	biological_process	Tier3
GO:0098727_maintenance of cell number	GO:0032502_developmental process	biological_process	Tier3
GO:0098743_cell aggregation	GO:0009987_cellular process	biological_process	Tier3
GO:0099120_socially cooperative development	GO:0051703_intraspecies interaction between organisms	biological_process	Tier3
GO:0110134_meiotic drive	GO:0022414_reproductive process	biological_process	Tier3
GO:0140029_exocytic process	GO:0009987_cellular process	biological_process	Tier3
GO:0140253_cell-cell fusion	GO:0009987_cellular process	biological_process	Tier3
GO:0140352_export from cell	GO:0009987_cellular process	biological_process	Tier3
GO:0140448_signaling receptor ligand precursor processing	GO:0009987_cellular process	biological_process	Tier3
GO:0150174_negative regulation of phosphatidylcholine metabolic process	GO:0065007_biological regulation	biological_process	Tier3
GO:1901049_atropine metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:1901275_tartrate metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:1901286_iron-sulfur-molybdenum cofactor metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:1901902_tyrocidine metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:1902064_regulation of transcription from RNA polymerase II promoter involved in spermatogenesis	GO:0022414_reproductive process	biological_process	Tier3
GO:1902397_detection of stimulus involved in meiotic spindle checkpoint	GO:0022414_reproductive process	biological_process	Tier3
GO:1902421_hydrogen metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:1902579_multi-organism localization	GO:0051179_localization	biological_process	Tier3
GO:1902579_multi-organism localization	GO:0051704_multi-organism process	biological_process	Tier3
GO:1903046_meiotic cell cycle process	GO:0022414_reproductive process	biological_process	Tier3
GO:1904600_actin fusion focus assembly	GO:0022414_reproductive process	biological_process	Tier3
GO:1905419_sperm flagellum movement involved in flagellated sperm motility	GO:0022414_reproductive process	biological_process	Tier3
GO:1990109_rejection of pollen from other species	GO:0022414_reproductive process	biological_process	Tier3
GO:1990109_rejection of pollen from other species	GO:0044419_interspecies interaction between organisms	biological_process	Tier3
GO:1990110_callus formation	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:1990748_cellular detoxification	GO:0009987_cellular process	biological_process	Tier3
GO:1990748_cellular detoxification	GO:0098754_detoxification	biological_process	Tier3
GO:1990845_adaptive thermogenesis	GO:0008152_metabolic process	biological_process	Tier3
GO:0000131_incipient cellular bud site	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0000133_polarisome	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0000242_pericentriolar material	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0000346_transcription export complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0000347_THO complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0000399_cellular bud neck septin structure	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0000407_phagophore assembly site	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0000408_EKC_KEOPS complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0000417_HIR complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0000444_MIS12_MIND type complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0000785_chromatin	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0000797_condensin core heterodimer	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0000800_lateral element	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0000801_central element	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0000802_transverse filament	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0000808_origin recognition complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0000817_COMA complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0000922_spindle pole	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0000930_gamma-tubulin complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0000939_condensed chromosome inner kinetochore	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0000940_condensed chromosome outer kinetochore	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0000943_retrotransposon nucleocapsid	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0000974_Prp19 complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0001114_protein-DNA-RNA complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0001400_mating projection base	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0001534_radial spoke	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0001535_radial spoke head	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0001536_radial spoke stalk	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0001650_fibrillar center	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0001651_dense fibrillar component	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0001652_granular component	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0001750_photoreceptor outer segment	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0001772_immunological synapse	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0001891_phagocytic cup	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0001917_photoreceptor inner segment	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0002096_polkadots	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0002111_BRCA2-BRAF35 complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0002133_polycystin complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0002139_stereocilia coupling link	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0002142_stereocilia ankle link complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0002144_cytosolic tRNA wobble base thiouridylase complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0002167_VRK3_VHR_ERK complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0002177_manchette	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0002193_MAML1-RBP-Jkappa- ICN1 complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0002199_zona pellucida receptor complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0002929_MECO complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005576_extracellular region	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005577_fibrinogen complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005581_collagen trimer	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005601_classical-complement-pathway C3_C5 convertase complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005602_complement component C1 complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005615_extracellular space	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005616_larval serum protein complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005621_cellular bud scar	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005630_dityrosine layer of spore wall	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005631_chitosan layer of spore wall	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005632_inner layer of spore wall	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005643_nuclear pore	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005652_nuclear lamina	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005654_nucleoplasm	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005657_replication fork	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005662_DNA replication factor A complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005663_DNA replication factor C complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005667_transcription regulator complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005677_chromatin silencing complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005702_polytene chromosome weak point	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005706_polytene chromosome ectopic fiber	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005712_chiasma	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005713_recombination nodule	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005726_perichromatin fibrils	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005727_extrachromosomal circular DNA	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005737_cytoplasm	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005815_microtubule organizing center	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005821_intermediate layer of spindle pole body	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005822_inner plaque of spindle pole body	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005823_central plaque of spindle pole body	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005824_outer plaque of spindle pole body	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005825_half bridge of spindle pole body	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005829_cytosol	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005831_steroid hormone aporeceptor complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005833_hemoglobin complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005835_fatty acid synthase complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005838_proteasome regulatory particle	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005839_proteasome core complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005849_mRNA cleavage factor complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005850_eukaryotic translation initiation factor 2 complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005851_eukaryotic translation initiation factor 2B complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005852_eukaryotic translation initiation factor 3 complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005853_eukaryotic translation elongation factor 1 complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005854_nascent polypeptide-associated complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005861_troponin complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005862_muscle thin filament tropomyosin	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005875_microtubule associated complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005885_Arp2_3 protein complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005930_axoneme	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005931_axonemal nexin link	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005933_cellular bud	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0005952_cAMP-dependent protein kinase complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005954_calcium- and calmodulin-dependent protein kinase complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0005956_protein kinase CK2 complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0008023_transcription elongation factor complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0008074_guanylate cyclase complex_soluble	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0008091_spectrin	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0008180_COP9 signalosome	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0008278_cohesin complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0008290_F-actin capping protein complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0008537_proteasome activator complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0008540_proteasome regulatory particle_base subcomplex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0008541_proteasome regulatory particle_lid subcomplex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0009295_nucleoid	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009327_NAD(P)+ transhydrogenase complex (AB-specific)	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0009330_DNA topoisomerase type II (double strand cut_ATP-hydrolyzing) complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0009337_sulfite reductase complex (NADPH)	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0009344_nitrite reductase complex [NAD(P)H]	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0009346_citrate lyase complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0009356_aminodeoxychorismate synthase complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0009366_enterobactin synthetase complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0009368_endopeptidase Clp complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0009418_pilus shaft	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009419_pilus tip	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009420_bacterial-type flagellum filament	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009421_bacterial-type flagellum filament cap	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009422_bacterial-type flagellum hook-filament junction	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009424_bacterial-type flagellum hook	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009425_bacterial-type flagellum basal body	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009426_bacterial-type flagellum basal body_distal rod	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009427_bacterial-type flagellum basal body_distal rod_L ring	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009428_bacterial-type flagellum basal body_distal rod_P ring	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009429_bacterial-type flagellum basal body_proximal rod	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009431_bacterial-type flagellum basal body_MS ring	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009433_bacterial-type flagellum basal body_C ring	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009504_cell plate	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009510_plasmodesmatal desmotubule	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009524_phragmoplast	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009525_phragmosome	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009532_plastid stroma	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009541_etioplast prolamellar body	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009542_granum	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009546_plasmodesmatal cytoplasmic sleeve	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009548_plasmodesmatal plasma membrane	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009549_cellulose microfibril	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009574_preprophase band	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009579_thylakoid	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009930_longitudinal side of cell surface	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0009986_cell surface	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0010287_plastoglobule	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0010316_pyrophosphate-dependent phosphofructokinase complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0010317_pyrophosphate-dependent phosphofructokinase complex_alpha-subunit complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0010318_pyrophosphate-dependent phosphofructokinase complex_beta-subunit complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0010319_stromule	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0010339_external side of cell wall	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0012505_endomembrane system	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0014705_C zone	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0014801_longitudinal sarcoplasmic reticulum	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0015627_type II protein secretion system complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0016020_membrane	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0016234_inclusion body	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0016272_prefoldin complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0016281_eukaryotic translation initiation factor 4F complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0016328_lateral plasma membrane	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0016363_nuclear matrix	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0016459_myosin complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0016592_mediator complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0016604_nuclear body	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0017086_3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0017101_aminoacyl-tRNA synthetase multienzyme complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0017102_methionyl glutamyl tRNA synthetase complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0017177_glucosidase II complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0018444_translation release factor complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0018995_host cellular component	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0019008_molybdopterin synthase complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0019013_viral nucleocapsid	GO:0044423_virion part	cellular_component	Tier3
GO:0019028_viral capsid	GO:0044423_virion part	cellular_component	Tier3
GO:0019033_viral tegument	GO:0044423_virion part	cellular_component	Tier3
GO:0019035_viral integration complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0019036_viral transcriptional complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0019037_viral assembly intermediate	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0019197_phosphoenolpyruvate-dependent sugar phosphotransferase complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0019773_proteasome core complex_alpha-subunit complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0019774_proteasome core complex_beta-subunit complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0019814_immunoglobulin complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0019898_extrinsic component of membrane	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0020007_apical complex	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0020008_rhoptry	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0020010_conoid	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0020016_ciliary pocket	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0020023_kinetoplast	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0020031_polar ring of apical complex	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0020032_basal ring of apical complex	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0020038_subpellicular network	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0020039_pellicle	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0022623_proteasome-activating nucleotidase complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0022624_proteasome accessory complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0030014_CCR4-NOT complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0030015_CCR4-NOT core complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0030017_sarcomere	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0030018_Z disc	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0030054_cell junction	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0030061_mitochondrial crista	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0030076_light-harvesting complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0030080_B875 antenna complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0030081_B800-820 antenna complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0030082_B800-850 antenna complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0030256_type I protein secretion system complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0030257_type III protein secretion system complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0030312_external encapsulating structure	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0030314_junctional membrane complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0030315_T-tubule	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0030427_site of polarized growth	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0030428_cell septum	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0030478_actin cap	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0030486_smooth muscle dense body	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0030496_midbody	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0030689_Noc complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0030694_bacterial-type flagellum basal body_rod	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0030870_Mre11 complex	GO:0032991_protein-containing complex	cellular_component	Tier3
GO:0030874_nucleolar chromatin	GO:0110165_cellular anatomical entity	cellular_component	Tier3
GO:0030875_rDNA protrusion	GO:0110165_cellular anatomical entity	cellular_component	Tier3
